RPM,Torque,,,,
4000,20.53628352,,,,
4250,21.4291559,,,,
4500,24.12076988,,,,
4750,26.30743307,,,,
5000,29.2188331,,,,
5250,30.50563891,,,,
5500,31.8666943,,,,
5750,30.95680567,,,,
6000,33.34964191,,,,
6250,36.69104061,,,,
6500,39.85276381,,,,
6750,43.28830758,,,,
7000,46.87761377,,,,
7250,48.43324756,,,,
7500,51.38493378,,,,
7750,52.73011886,,,,
8000,55.20180283,,,,
8250,57.75595659,,,,
8500,58.50341056,,,,
8750,60.30713611,,,,
9000,61.34899426,,,,
9250,63.69487889,,,,
9500,65.25727887,,,,
9750,66.77728218,,,,
10000,68.270238,,,,
10250,70.10731943,,,,
10500,71.11188291,,,,
10750,71.86347146,,,,
11000,72.82666616,,,,
11250,72.90837584,,,,
11500,72.63327977,,,,
11750,72.09282231,,,,
12000,71.98720926,,,,
12250,72.59643138,,,,
12500,73.92726349,,,,
12750,74.95383293,,,,
13000,74.99997836,,,,
,,,,,
,,,,,
,,,,,
,,,,,
