RPM,Torque
4000,21.42696879
4250,23.21632986
4500,25.32001595
4750,26.72668351
5000,29.07514783
5250,27.38477686
5500,28.09143846
5750,31.98698393
6000,35.73727761
6250,39.50106602
6500,41.52879144
6750,43.37658615
7000,46.30086375
7250,47.6616003
7500,50.02716648
7750,52.58068906
8000,53.82597839
8250,56.36641197
8500,58.57015529
8750,61.36203388
9000,61.92031733
9250,63.54243931
9500,64.98597839
9750,65.00702917
10000,66.27225769
10250,67.73639458
10500,68.40445891
10750,68.97559515
11000,69.05429591
11250,68.98800331
11500,68.96265622
11750,69.34184544
12000,69.61134827
12250,70.00000271
12500,69.71130267
12750,69.43342121
13000,69.00976551
