TIRF Data File: Project 1175; Run 22
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg F	none
0.000	0.24	0.22	-0.052	-0.001	25.196	288.013	110.25	-0.44	-17.54	-1081.57	3.93	-0.36	0.00	0.02	26.31	43.61	45.77	45.20	89.66	-0.913
0.020	0.24	0.18	-0.054	0.006	25.197	342.510	110.32	-0.16	-17.40	-1082.88	4.29	-0.24	0.00	0.02	26.29	43.61	45.75	45.19	89.67	-0.926
0.040	0.24	0.18	-0.048	0.005	25.199	349.237	110.25	-1.20	-16.04	-1082.89	4.51	-0.45	0.00	0.01	26.29	43.63	45.77	45.18	89.66	-0.928
0.060	0.24	0.22	-0.051	0.006	25.197	282.465	110.32	0.04	-14.63	-1081.57	4.38	-0.38	0.00	0.01	26.32	43.61	45.77	45.20	89.68	-0.911
0.080	0.25	0.18	-0.052	0.002	25.198	355.964	110.45	-1.16	-16.10	-1080.13	3.98	-0.19	0.00	0.01	26.29	43.65	45.77	45.19	89.65	-0.929
0.100	0.24	0.22	-0.047	0.003	25.197	282.465	110.32	-1.97	-16.77	-1078.11	3.43	-0.54	0.00	0.02	26.32	43.61	45.77	45.20	89.69	-0.911
0.120	0.24	0.22	-0.052	0.008	25.196	288.013	110.25	-0.98	-16.68	-1080.86	3.96	-0.59	0.00	0.02	26.34	43.59	45.81	45.22	89.65	-0.913
0.140	0.24	0.18	-0.054	0.006	25.197	349.237	110.32	-2.99	-16.01	-1081.58	4.16	-0.75	0.00	0.01	26.32	43.61	45.81	45.19	89.68	-0.928
0.160	0.24	0.22	-0.058	0.003	25.197	282.465	110.32	-2.23	-17.46	-1080.27	3.58	-0.66	0.00	0.02	26.32	43.56	45.81	45.23	89.67	-0.911
0.180	0.24	0.22	-0.054	0.005	25.197	282.465	110.25	-0.94	-16.75	-1078.96	3.34	-0.33	0.00	0.02	26.29	43.59	45.81	45.23	89.68	-0.911
0.200	0.22	0.18	-0.057	0.002	25.198	322.329	110.25	-1.21	-16.80	-1080.27	3.69	-0.45	0.00	0.02	26.31	43.61	45.87	45.22	89.69	-0.922
0.220	0.23	0.18	-0.055	0.003	25.197	335.783	110.25	-1.48	-16.08	-1080.27	3.80	-0.57	0.00	0.01	26.31	43.61	45.87	45.22	89.67	-0.925
0.240	0.23	0.18	-0.055	0.003	25.201	335.783	110.32	-1.46	-16.07	-1080.73	4.24	-0.56	0.00	0.01	26.31	43.63	45.87	45.20	89.71	-0.925
0.260	0.23	0.18	-0.055	0.002	25.198	335.783	110.25	-1.97	-16.10	-1080.99	3.89	-0.54	0.00	0.01	26.29	43.63	45.85	45.19	89.67	-0.925
0.280	0.24	0.18	-0.052	0.001	25.204	342.510	110.32	-1.74	-16.82	-1080.14	3.87	-0.69	0.00	0.02	26.31	43.67	45.87	45.18	89.70	-0.926
0.300	0.25	0.18	-0.055	0.002	25.198	355.964	110.32	-0.70	-16.78	-1082.04	4.49	-0.47	0.00	0.02	26.31	43.70	45.87	45.20	89.67	-0.929
0.320	0.25	0.18	-0.058	0.005	25.195	355.964	110.25	-0.71	-16.05	-1080.86	4.07	-0.47	0.00	0.01	26.28	43.67	45.87	45.20	89.69	-0.929
0.340	0.24	0.18	-0.054	0.008	25.198	342.510	110.45	-1.75	-15.99	-1079.56	3.72	-0.69	0.00	0.01	26.29	43.72	45.89	45.20	89.69	-0.926
